,Room Details,City,Ward,Negotiable,Monthly Rent,Available Now?,Size in squared meters,Deposit in Yen,Deposit Required?,Key Price in Yen,Key Payment Required?,Floor Data,Year,Building Age,Closest Station,Time to Nearest Station,Bus Requried?
0,PRIVATE GUESTHOUSE,SHIMOTAKAIDO,SUGINAMI,No,140000.0,Yes,12.0,0,No,0,No,2 / 8,2019,2,Kamikitazawa Station,5,No
1,1K APARTMENT,HOMMACHI,SHIBUYA,Yes,174000.0,Yes,37.1,0,No,0,No,1 / 4,2005,16,Hatsudai Station,9,No
2,1LDK APARTMENT,WAKABA,SHINJUKU,Yes,325000.0,No,44.81,0,No,0,No,5 / 8,2015,6,Yotsuya Station,7,No
3,1LDK APARTMENT,HOMMACHI,SHIBUYA,Yes,177000.0,Yes,57.0,0,No,0,No,1 / 3,1994,27,Hatsudai Station,9,No
4,1R APARTMENT,ASAKUSA,TAITO,No,120000.0,Yes,23.0,120000,Yes,0,No,1 / 3,2020,1,Asakusa Station,10,No
5,1K APARTMENT,SAKURASHIMMACHI,SETAGAYA,No,94000.0,No,26.8,90000,Yes,90000,Yes,6 / 6,1964,57,Sakurashinmachi Station,2,No
6,1K APARTMENT,KITASHINAGAWA(1-4-CHOME),SHINAGAWA,No,137000.0,No,30.0,135000,Yes,0,No,3 / 4,1979,42,Kitashinagawa Station,1,No
7,1R APARTMENT,CHUO,NAKANO,No,92000.0,No,16.2,90000,Yes,0,No,1 / 2,1983,38,Shinnakano Station,4,No
8,1K APARTMENT,AOTO,KATSUSHIKA,No,78000.0,Yes,17.5,0,No,0,No,2 / 4,1974,47,Kameari Station,10,No
9,3SLDK HOUSE,HIGASHIASAKUSA,TAITO,Yes,270000.0,Yes,87.0,270000,Yes,0,No,1 / 1,2018,3,Asakusa Station,15,No
10,1LDK APARTMENT,ASAKUSA,TAITO,No,150000.0,Yes,32.0,150000,Yes,0,No,3 / 3,2019,2,Asakusa Station,12,No
11,1LDK APARTMENT,SASAZUKA,SHIBUYA,Yes,180000.0,Yes,34.1,0,No,0,No,3 / 7,2015,6,Sasazuka Station,5,No
12,2LDK HOUSE,ASAKUSA,TAITO,No,170000.0,Yes,45.0,170000,Yes,0,No,2 / 2,1983,38,Asakusa Station,3,No
13,1R APARTMENT,ASAGAYAMINAMI,SUGINAMI,No,62000.0,Yes,16.06,0,No,0,No,1 / 5,1985,36,Asagaya Station,4,No
14,1R APARTMENT,TAMAGAWADAI,SETAGAYA,No,67000.0,Yes,19.78,0,No,0,No,1 / 2,1989,32,Youga Station,3,No
15,2DK APARTMENT,CHUO,NAKANO,No,152000.0,No,40.0,150000,Yes,0,No,5 / 5,1978,43,Shinnakano Station,4,No
17,1R APARTMENT,SHINJUKU,SHINJUKU,Yes,108000.0,Yes,16.0,0,No,0,No,2 / 3,2000,21,Shinjukusanchoume Station,5,No
18,1K APARTMENT,MINAMIOTSUKA,TOSHIMA,Yes,95000.0,Yes,24.0,100000,Yes,0,No,2 / 10,2018,3,Otsuka Station,5,No
19,2LDK APARTMENT,KAMIOCHIAI,SHINJUKU,No,157000.0,No,38.0,155000,Yes,0,No,4 / 4,1980,41,Ochiai Station,2,No
20,1R APARTMENT,TAKADA,TOSHIMA,No,65000.0,Yes,15.0,0,No,62000,Yes,2 / 2,1988,33,Omokagebashi Station,3,No
21,1K APARTMENT,MUKOJIMA,SUMIDA,Yes,200000.0,Yes,25.0,0,No,0,No,3 / 5,2018,3,Oshiage Station,6,No
22,3SLDK APARTMENT,ICHIGAYACHOENJIMACHI,SHINJUKU,Yes,288000.0,Yes,96.0,0,No,0,No,1 / 3,1990,31,Ichigaya Station,3,No
23,1K APARTMENT,NISHIIKEBUKURO,TOSHIMA,No,57000.0,No,16.74,0,No,55000,Yes,10 / 12,1994,27,Not Available,Not Available,No
24,2DK HOUSE,KIYOKAWA,TAITO,No,130000.0,Yes,33.0,130000,Yes,0,No,Not Available,2020,1,Minamisenju Station,14,No
25,1DK APARTMENT,TAKADANOBABA,SHINJUKU,No,142000.0,No,25.0,140000,Yes,0,No,5 / 5,1984,37,Takadanobaba Station,2,No
26,SHARED APARTMENT,HAKUSAN(2-5-CHOME),BUNKYO,No,86000.0,Yes,0.0,0,No,0,No,2 / 9,2018,3,Hakusan Station,5,No
27,PRIVATE GUESTHOUSE,MITA,MINATO,No,76900.0,Yes,12.0,0,No,0,No,2 / 2,1988,33,Azabu-juban Station,4,No
28,1LDK SERVICED APARTMENT,YOYOGI,SHIBUYA,No,166500.0,No,39.0,0,No,0,No,1 / 7,1983,38,Sangubashi Station,6,No
29,SHARED GUESTHOUSE,SHIRAITODAI,FUCHU,No,60000.0,Yes,13.0,0,No,0,No,3 / 4,1995,26,Musashinodai Station,5,No
30,SHARED APARTMENT,HAKUSAN(2-5-CHOME),BUNKYO,No,115000.0,Yes,0.0,0,No,0,No,2 / 9,2018,3,Hakusan Station,5,No
31,PRIVATE APARTMENT,HAKUSAN(2-5-CHOME),BUNKYO,No,150000.0,Yes,12.21,0,No,0,No,2 / 9,2018,3,Hakusan Station,5,No
33,SHARED GUESTHOUSE,SHAKUJIIDAI,NERIMA,No,58000.0,Yes,9.31,0,No,0,No,1 / 2,2015,6,Oizumigakuen Station,12,No
34,1K APARTMENT,KANDANISHIKICHO,CHIYODA,Yes,260000.0,Yes,28.0,120000,Yes,0,No,3 / 13,2018,3,Otemachi Station,5,No
35,1K APARTMENT,HIGASHINIPPORI,ARAKAWA,No,200000.0,Yes,25.0,0,No,0,No,3 / 7,2018,3,Uguisudani Station,6,No
36,1R APARTMENT,SHINJUKU,SHINJUKU,Yes,220000.0,Yes,30.0,100000,Yes,0,No,8 / 8,2005,16,Shinjukusanchoume Station,2,No
37,PRIVATE SERVICED APARTMENT,YOYOGI,SHIBUYA,No,74900.0,No,10.0,0,No,0,No,7 / 7,1983,38,Sangubashi Station,6,No
38,1R SERVICED APARTMENT,YOYOGI,SHIBUYA,No,107000.0,Yes,20.0,0,No,0,No,6 / 7,1983,38,Sangubashi Station,6,No
39,1DK APARTMENT,WAKABA,SHINJUKU,Yes,250000.0,No,35.0,0,No,0,No,1 / 2,1963,58,Yotsuya Station,10,No
40,SHARED GUESTHOUSE,OMORINISHI,OTA,No,64000.0,Yes,9.0,0,No,0,No,3 / 4,1995,26,Heiwajima Station,5,No
41,PRIVATE SERVICED APARTMENT,YOYOGI,SHIBUYA,No,71900.0,No,9.0,0,No,0,No,7 / 7,1983,38,Sangubashi Station,6,No
42,1K APARTMENT,UEHARA,SHIBUYA,No,66000.0,Yes,19.8,64000,Yes,64000,Yes,2 / 2,1987,34,Higashikitazawa Station,4,No
43,1R APARTMENT,WAKAMIYA,NAKANO,No,43000.0,No,14.91,0,No,43000,Yes,2 / 2,1988,33,Nogata Station,4,No
44,SHARED GUESTHOUSE,SHIMOTAKAIDO,SUGINAMI,No,106000.0,Yes,18.0,0,No,0,No,2 / 8,2019,2,Kamikitazawa Station,5,No
45,2DK APARTMENT,MUKODAICHO,NISHITOKYO,No,66000.0,Yes,40.38,0,No,0,No,10 / 11,1973,48,Tanashi Station,15,No
46,1K APARTMENT,WAKAMATSUCHO,SHINJUKU,Yes,135000.0,Yes,28.0,100000,Yes,0,No,6 / 8,1982,39,Wakamatsu Kawada Station,1,No
47,2DK APARTMENT,KITAUENO,TAITO,Yes,210000.0,Yes,40.66,100000,Yes,0,No,3 / 8,1983,38,Inaricho Station,9,No
49,2K APARTMENT,GOCHICHO,AKISHIMA,No,45000.0,Yes,28.98,0,No,0,No,2 / 4,1968,53,Nishitachikawa Station,18,No
50,1K APARTMENT,NISHISHINJUKU,SHINJUKU,Yes,150000.0,Yes,25.0,100000,Yes,0,No,5 / 13,1983,38,Nishi-shinjuku Station,6,No
51,3DK APARTMENT,NINOMIYA,AKIRUNO,No,55000.0,Yes,57.96,0,No,0,No,4 / 5,1969,52,Higashiakiru Station,9,No
52,3DK APARTMENT,YASHIO,SHINAGAWA,No,146000.0,Yes,61.62,0,No,0,No,1 / 14,1984,37,Shinagawa Seaside Station,11,No
53,2LDK APARTMENT,SHIOMI,KOTO,No,164000.0,Yes,64.87,0,No,0,No,1 / 14,1997,24,Shiomi Station,4,No
54,1K APARTMENT,YAKUMO,MEGURO,No,55000.0,Yes,20.6,0,No,55000,Yes,2 / 2,1975,46,Toritsu-daigaku Station,7,No
55,1LDK APARTMENT,SHIBUYA,SHIBUYA,No,400000.0,Yes,48.28,380000,Yes,380000,Yes,14 / 15,2020,1,Shibuya Station,1,No
56,3DK APARTMENT,KAIGAN(3-CHOME),MINATO,No,167000.0,Yes,60.58,0,No,0,No,4 / 12,1993,28,Shibaura Futou Station,4,No
57,3DK APARTMENT,KOBIKIMACHI,HACHIOJI,No,62000.0,Yes,49.2,0,No,0,No,1 / 5,1964,57,Yamada Station,3,No
58,1K APARTMENT,MINAMIAOYAMA,MINATO,No,129000.0,Yes,24.57,105000,Yes,0,No,1 / 3,1991,30,Gaien Mae Station,7,No
59,3LDK HOUSE,SEIJO,SETAGAYA,No,340000.0,No,102.24,680000,Yes,340000,Yes,Not Available,2021,0,Seijougakuen Mae Station,10,No
60,1LDK APARTMENT,KUDANKITA,CHIYODA,No,700000.0,Yes,124.94,2100,Yes,0,No,25 / 26,2006,15,Kudanshita Station,1,No
61,1R APARTMENT,EBISU,SHIBUYA,Yes,105000.0,Yes,15.3,0,No,0,No,1 / 1,1994,27,Ebisu Station,11,No
62,1R APARTMENT,SHIMOMEGURO,MEGURO,No,115800.0,No,18.23,72000,Yes,0,No,9 / 10,1985,36,Meguro Station,8,No
63,1K APARTMENT,HOMMACHI,SHIBUYA,No,120000.0,No,13.0,0,No,0,No,2 / 3,2017,4,Nishishinjuku Go Choume Station,8,No
65,1R APARTMENT,NOGATA,NAKANO,No,57000.0,Yes,11.0,65000,Yes,65000,Yes,2 / 3,2016,5,Nogata Station,17,Yes
66,1K APARTMENT,NISHINIPPORI,ARAKAWA,No,60000.0,Yes,14.0,0,No,0,No,3 / 4,2017,4,Nishinippori Station,4,No
67,PRIVATE APARTMENT,TAKADA,TOSHIMA,No,22000.0,Yes,2.2,0,No,0,No,1 / 5,2016,5,Gakushuinshita Station,4,No
68,1K APARTMENT,SANNO,OTA,No,129100.0,No,25.84,98000,Yes,0,No,1 / 1,2017,4,Omori Station,7,No
69,2LDK APARTMENT,NARITAHIGASHI,SUGINAMI,No,172000.0,No,55.2,170000,Yes,0,No,1 / 6,1970,51,Minami Asagaya Station,2,No
70,1K APARTMENT,AOTO,KATSUSHIKA,No,78000.0,Yes,17.5,0,No,0,No,4 / 4,1974,47,Kameari Station,10,No
71,1R APARTMENT,KAMEARI,KATSUSHIKA,Yes,44000.0,No,15.0,0,No,0,No,2 / 2,1985,36,Kameari Station,5,No
72,PRIVATE GUESTHOUSE,MITA,MINATO,No,69800.0,No,9.0,0,No,0,No,2 / 2,1988,33,Azabu-juban Station,4,No
73,PRIVATE GUESTHOUSE,MITA,MINATO,No,81900.0,No,18.0,0,No,0,No,1 / 2,1988,33,Azabu-juban Station,4,No
74,2LDK APARTMENT,KAMIOCHIAI,SHINJUKU,No,142000.0,No,40.0,140000,Yes,0,No,3 / 4,1980,41,Ochiai Station,2,No
75,PRIVATE GUESTHOUSE,MITA,MINATO,No,69800.0,No,8.0,0,No,0,No,1 / 2,1988,33,Azabu-juban Station,4,No
77,1K APARTMENT,MINAMIOTSUKA,TOSHIMA,Yes,125000.0,Yes,24.0,100000,Yes,0,No,7 / 11,2018,3,Otsuka Station,5,No
79,1K APARTMENT,SHINKAWA,CHUO,Yes,130000.0,Yes,22.0,100000,Yes,0,No,9 / 10,2001,20,Kayabacho Station,7,No
81,PRIVATE GUESTHOUSE,MITA,MINATO,No,76900.0,No,12.0,0,No,0,No,2 / 2,1988,33,Azabu-juban Station,4,No
82,2LDK SERVICED APARTMENT,JINGUMAE,SHIBUYA,No,540000.0,Yes,69.0,200000,Yes,0,No,3 / 5,1968,53,Kita Sandou Station,7,No
83,1R APARTMENT,YANAGIBASHI,TAITO,Yes,120000.0,Yes,25.1,100000,Yes,0,No,2 / 2,1976,45,Asakusabashi Station,2,No
84,1R APARTMENT,NAKANO,NAKANO,No,60000.0,Yes,10.02,57000,Yes,57000,Yes,2 / 2,2006,15,Higashi Koenji Station,9,No
