Listing Title,Monthly Costs,Availability,Size,Deposit,Key Price,Floor,Year Built,Nearest Station
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN HOMMACHI
SHIBUYA-KU, TOKYO","Monthly Costs ¥174,000 negotiable",Available Now,Size 37.10 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 4F,Year Built 2005,Nearest Station Hatsudai Station (9 min. walk)
"1LDK APARTMENT
IN WAKABA
SHINJUKU-KU, TOKYO","Monthly Costs ¥325,000 negotiable","Available From Jul 1, 2021",Size 44.81 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 8F,Year Built 2015,Nearest Station Yotsuya Station (7 min. walk)
"1LDK APARTMENT
IN HOMMACHI
SHIBUYA-KU, TOKYO","Monthly Costs ¥177,000 negotiable",Available Now,Size 57.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 3F,Year Built 1994,Nearest Station Hatsudai Station (9 min. walk)
"1R APARTMENT
IN ASAKUSA
TAITO-KU, TOKYO","Monthly Costs ¥120,000",Available Now,Size 23.00 m²,"Deposit ¥120,000",Key Money ¥0,Floor 1 / 3F,Year Built 2020,Nearest Station Asakusa Station (10 min. walk)
"1K APARTMENT
IN SAKURASHIMMACHI
SETAGAYA-KU, TOKYO","Monthly Costs ¥94,000","Available From Feb 28, 2021",Size 26.80 m²,"Deposit ¥90,000","Key Money ¥90,000",Floor 6 / 6F,Year Built 1964,Nearest Station Sakurashinmachi Station (2 min. walk)
"1K APARTMENT
IN KITASHINAGAWA(1-4-CHOME)
SHINAGAWA-KU, TOKYO","Monthly Costs ¥137,000","Available From Feb 27, 2021",Size 30.00 m²,"Deposit ¥135,000",Key Money ¥0,Floor 3 / 4F,Year Built 1979,Nearest Station Kitashinagawa Station (1 min. walk)
"1R APARTMENT
IN CHUO
NAKANO-KU, TOKYO","Monthly Costs ¥92,000","Available From Feb 27, 2021",Size 16.20 m²,"Deposit ¥90,000",Key Money ¥0,Floor 1 / 2F,Year Built 1983,Nearest Station Shinnakano Station (4 min. walk)
"1K APARTMENT
IN AOTO
KATSUSHIKA-KU, TOKYO","Monthly Costs ¥78,000",Available Now,Size 17.50 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 4F,Year Built 1974,Nearest Station Kameari Station (10 min. walk)
"3SLDK HOUSE
IN HIGASHIASAKUSA
TAITO-KU, TOKYO","Monthly Costs ¥270,000 negotiable",Available Now,Size 87.00 m²,"Deposit ¥270,000",Key Money ¥0,Floor 1 / 1F,Year Built 2018,Nearest Station Asakusa Station (15 min. walk)
"1LDK APARTMENT
IN ASAKUSA
TAITO-KU, TOKYO","Monthly Costs ¥150,000",Available Now,Size 32.00 m²,"Deposit ¥150,000",Key Money ¥0,Floor 3 / 3F,Year Built 2019,Nearest Station Asakusa Station (12 min. walk)
"1LDK APARTMENT
IN SASAZUKA
SHIBUYA-KU, TOKYO","Monthly Costs ¥180,000 negotiable",Available Now,Size 34.10 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 7F,Year Built 2015,Nearest Station Sasazuka Station (5 min. walk)
"2LDK HOUSE
IN ASAKUSA
TAITO-KU, TOKYO","Monthly Costs ¥170,000",Available Now,Size 45.00 m²,"Deposit ¥170,000",Key Money ¥0,Floor 2 / 2F,Year Built 1983,Nearest Station Asakusa Station (3 min. walk)
"1R APARTMENT
IN ASAGAYAMINAMI
SUGINAMI-KU, TOKYO","Monthly Costs ¥62,000",Available Now,Size 16.06 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 5F,Year Built 1985,Nearest Station Asagaya Station (4 min. walk)
"1R APARTMENT
IN TAMAGAWADAI
SETAGAYA-KU, TOKYO","Monthly Costs ¥67,000",Available Now,Size 19.78 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1989,Nearest Station Youga Station (3 min. walk)
"2DK APARTMENT
IN CHUO
NAKANO-KU, TOKYO","Monthly Costs ¥152,000","Available From Feb 27, 2021",Size 40.00 m²,"Deposit ¥150,000",Key Money ¥0,Floor 5 / 5F,Year Built 1978,Nearest Station Shinnakano Station (4 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1R APARTMENT
IN SHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥108,000 negotiable",Available Now,Size 16.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 2000,Nearest Station Shinjukusanchoume Station (5 min. walk)
